brand,style,colorway,material,status,source,date,notes
Chanel,Classic Flap,black,caviar,in_hand,Vivrelle,2026-07-08,Large Classic Double Flap GHW; ~$12600 est retail per Vivrelle
Louis Vuitton,Neverfull,blue,Epi,in_hand,Vivrelle,2026-07-08,MM; ~$2640 est retail per Vivrelle; Epi not Monogram
Chanel,Classic Flap,iridescent,caviar,shot,owned,2022,detail-only weak crop (stills 8201-8202)
Hermès,Birkin,various,various,shot,Fashionphile showroom,,25/30/40/Himalaya (stills 7633-7649)
Hermès,Kelly,various,various,shot,Fashionphile showroom,,Sellier 28/Retourne 25/Mini 20/Bi-Color/Wallet (stills 7600-7631)
Hermès,Constance,raspberry+blue,,shot,owned,,18 and 24 (stills 7823-7833)
Hermès,24/24,gold,,shot,owned,,stills 7814-7856
Hermès,Picotin,lime green,,shot,owned,,still 7834
Hermès,Roulis,,ostrich,shot,owned,,stills 7815-7817
Hermès,Halzan,,Taurillon Clemence,shot,owned,,stills 7846-7848
Hermès,Lindy,blue,,shot,owned,,still 7850
Hermès,Evelyne,red,,shot,owned,,still 7820
Chanel,Boy,black,,shot,owned,,still 8196
Chanel,Chanel 19,,lambskin,shot,Vivrelle,2023-03-29,still 4123
Chanel,Business Affinity,blue,,shot,Vivrelle,2023-12-18,stills 1681-1684
Chanel,Coco Handle,,caviar,shot,Vivrelle,2024-04-10,still 6723
Chanel,Coco Luxe Top Handle,black,lambskin,shot,Vivrelle,2023-10-26,still 3019
Chanel,Rock The Corner,black,,shot,owned,,stills 3258-3291
Louis Vuitton,Twist,cream,epi,shot,owned,,stills 5133-5136
Louis Vuitton,Lockme Tote,,,shot,Vivrelle,2023-12-20,PM still 3091
Louis Vuitton,Lockme Ever,,,shot,Vivrelle,2024-05-13,BB still 7438
Saint Laurent,LouLou,black,,shot,owned,,stills 4201-4672
Prada,Re-Edition 1995,,brushed leather,shot,Vivrelle,2024-03-18,stills 6106-6111
Fendi,Peekaboo,,ostrich + ISeeU,shot,Vivrelle,2024-07-23,stills 4675 / 8902-8903
